B.TECH I SEMESTER ODD 2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
MON,9-9.50,10-10.50,11-11.50,12-12.50,1-1.50,2-2.50,3-3.50,4-4.50,
,"LA17,A18(MA111)-G2/SGL","LB5,B6(EC101)-G2/NSH","LB1,B2(HS112)-G2/EKS",LUNCH,"LB7,B8(MA111)-G2/RSH","LB11,B12(PH111)-G2/GPK","LB1,B2(PH111)-G2/DIN",LC(HS112)-G2/EKS,
,"LA9,B13(PH111)-G9/RKD","LA10,B14(PH111)-G9/ANU","LG1,G2(EC101)-G9/SMK",,"LB5,B6(CI111)-G9/ASP",LC(PH112)-G9/RAV,"LA3,A4(MA111)-CR401/HA","LA9,B13(HS112)-G9/HK",
,"LA10,B14(EC101)-FF1/NTN","LA7,A8(HS112)-FF1/MB","LB3,B4(EC101)-CR325/YOG",,"LA1,A2(PH111)-FF1/VRT","LB7,B8(CI111)-FF1/ASY","LB9,B10(PH111)-FF1/INC","LG1,G2(PH111)-FF1/ABH",
,,"LA17,A18(CI111)-FF3/SHP","LA7,A8(MA111)-FF3/MKB",,LC(MA112)-FF3/GA,"LA9,B13(MA111)-FF3/AK","LA10,B14(MA111)-FF3/RSC",,
,,"LB3,B4(MA111)-FF5/PAT","LA17,A18(PH111)-FF5/SDC",,"LA15,A16(EC101)-FF5/MN","LA1,A2(EC101)-FF5/VRN","LA17,A18(EC101)-FF5/PRAB",TB14(GE112)-TS6/MJH,
,TG1(EC101)-TS6/VRN,"LG1,G2(CI111)-CR301/ANM",LC(EC101)- FF1/APN,,TA9(GE112)-TS6/NF,TB14(EC101)-TS6/NSH,,TA10(CI111)-TS7/MSH,
,TG2(EC101)-TS7/PKY,TB11(PH111)-TS6/SND,TA10(PH111)-TS6/MTR,,TB2(MA111)-TS7/LK,TB1(CI111)-TS7/AJP,"LB3,B4(PH111)-G9/BCJ",TA17(MA111)-TS8/GA,
,TA3(GE112)-TS8/CDN,TA6(MA111)-TS7/LK,TB13(GE112)-TS7/NF,,TA10(GE112)-TS8/NKR,TB2(CI111)-TS8/AMT,,TA3(MA111)-TS10/SP,
,TA4(GE112)-TS10/MJH,TB7(EC101)-TS8/ABY,,,TB4(MA111)-TS10/PAT,,TB13(CI111)-TS6/NF,TB2(PH111)-TS11/INC,
,TC3(GE112)-TS11/SWET,TB8(EC101)-TS10/ALJ, ,,TB1(MA111)-TS11/NS,,TA9(CI111)-TS7/NF,TB1(PH111)-TS12/GPK,
,,TC3(18B11CI111)-TS11/SJA,,,TB12(PH111)-TS12/RKD,,TC1(18B11CI111)-TS8/SJA,,
,,,,,"LA7,A8(CI111)-CS2/SOS",,,,
,,PA4(PH171)-PL3/PC,,,"PA18(CI171)-CL15/ARP,VRN",,PA1(PH171)-PL1/SPP/RKG,,
,"PB2(CI171)-CL13/KP,ASP",,,,"PB10(HS112)-LL/EKS,NF5",,PA2(PH171)-PL3/SDC/VRT,,
,"PC2(HS112)-CL12/AS, VAN",,,,"PB9(HS112)-CL12/AS,VS",,"PB5(CI171)-CL13/SHP,KP",,
,"PB1(CI171)-CL15/ASY,GZL",,,,PA5(PH171)-PL1/ANU,,"PB6(CI171)-CL15/ALK,AMT",,
,"PB9(EC107)-EDC/SHA,VSL",,,,PA6(PH171)-/PL2/MTR,,"PB11(HS112)CL12/YN,NF7",,
,"PC1(HS112)LL/HK,NF5",,,,"PA17(CI171)-CL13/SHB,ANM",,"PB12(HS112)LL/NIS,NF6",,
,,PA3(PH171)-/PL2/MKC,,,"PG1(EC107)-EDC/SMK,AMR",,"PA15(EC107)-EDC/RRJ,JYO",,
,"PB10(EC107)-BEL3/YOG,MNA",,,,"PB3(EC107)-BEL3/YOG, MNA",,"PA16(EC107)-BEL3/AB,ACH",,
,PA1(GE112)-EW1/NKR,,,,PA4(GE112)-EW1/MJH,,PA6(GE112)-EW1/NKR,,
,PA2(GE112)-EW2/SNP,,,,PA3(GE112)-EW2/CDN,,PA5(GE112)-EW2/SWET,,
,,,,,,,,,
,,,,,,,,,
TUE,"LA9,B13(CI111)-G2/NF","LB1,B2(CI111)-G2/AMT","LA1,A2(CI111)-G2/PRN",LUNCH,"LB9,B10(MA111)-G2/RSC","LG1,G2(HS112)-G2/MB","LA7,A8(MA111)-G2/MKB","LB5,B6(HS112)-G2/MB",
,"LB7,B8(PH111)-G9/RKG","LB3,B4(HS112)-G9/HK","LA10,B14(CI111)-G9/MSH",,"LA5,A6(CI111)-G9/KM","LA3,A4(EC101)-G9/AB","LG1,G2(CI111)-CR301/ANM","LA5,A6(MA111)-G9/NSK",
,"LA15,A16(MA111)-FF1/HA",LC(18B11CI111)-FF1/SJA,"LB11,B12(PH111)-CR401/GPK",,"LB7,B8(CI111)-FF1/ASY","LA9,B13(PH111)-FF1/RKD","LA5,A6(PH111)-FF1/NG","LG1,G2(EC101)-FF1/SMK",
,"LB3,B4(EC101)-FF3/YOG","LA1,A2(MA111)-FF3/NS","LB1,B2(MA111)-FF3/LK",,"LB3,B4(CI111)-FF3/AST",,"LB5,B6(PH111)-FF3/DIN","LA7,A8(CI111)-FF3/SOS",
,"LA1,A2(EC101)-FF5/VRN","LA3,A4(CI111)-FF5/PHP","LA15,A16(HS112)-FF5/HK",,LC(MA112)-FF5/GA,,"LA17,A18(EC101)-FF5/PRAB","LA17,A18(MA111)-FF5/SGL",
,,"LB5,B6(MA111)-CR301/NSK","LB3,B4(MA111)-CR301/PAT",,"LB1,B2(EC101)-FF7/YOG",,"LB3,B4(PH111)-G9/BCJ","LA9,B13(EC101)-G3/MN",
,TC1(MA112)-TS6/GA,"LA10,B14(EC101)-CR325/NTN","LB9,B10(CI111)-CR325/AST",,TB14(CI111)-TS6/ANM,,LC(PH112)-CR325/RAV,"LA15,A16(PH111)-G4/SPP",
,TA4(CI111)-TS7/SHP,TA16(GE112)-TS6/MJH,LC(EC101)-FF1/APN,,TB12(EC101)-TS7/VRN,TA5(MA111)-TS6/SGL,,"LA3,A4(PH111)-G7/MKC",
,TB5(EC101)-TS8/RIG,TA15(PH111)-TS7/VRT,"LG1, G2(MA111)-CS7/DCS",,TA1(EC101)-TS8/RS,TB3(CI111)-TS7/AV,TB12(MA111)-TS7/HA,TB12(CI111)-TS6/PHP,
,TB6(EC101)-TS10/ALJ,TA9(EC101)-TS8/VRN,TA3(PH111)-TS6/ABH,,TA2(EC101)-TS10/JG,TB9(GE112)-TS8/SWET,TB11(MA111)-TS8/NS,TB11(CI111)-TS7/SHP,
,,TA18(CI111)-TS10/AV,TA4(PH111)-TS7/RKG,,,,TB10(CI111)-TS6/AV,,
,,TB11(EC101)-TS11/PKY,TA5(GE112)-TS8/SWET,,,,"PA5(EC107)-EDC/APN,BVI",,
,"PA6(HS112)LL/DAN,NF6",,TA6(GE112)-TS10/NKR,,"PA8(EC107)-EDC/ABY,NHI",,"PA6(EC107)-BEL3/YOG,MNA",,
,"PA5(HS112)-CL12/AS,VS",,TA18 (MA111)-TS11/AN,,"PA17(HS112)-CL12/AS,VAN",,PB2(PH171)-/PL3/RKD/GPK,,
,,,,,PA18(HS112)-LL/NIS/NF6,,PB1(PH171)-/PL2/ABH,,
,,,,,PB5(PH171)-/PL1/VRT,,PB7(HS112)-CL12/YN/NF7,,
,"PB9(CI171)-CL13/APR,SHB",,,,PB6(PH171)-/PL2/SND/INC,,"PB8(HS112)-LL/EKS,NF5",,
,"PB10(CI171)-CL15/ASY,KM",,,,"PA7(EC107)-BEL3/RRJ,JYO",,"PA2(CI171)-CL13/DSR,ASP",,
,,,,,PA10(PH171)-PL3/DIN,,"PA1(CI171)-CL15/AJP,ASY",,
,,"PB8(EC107)-EDC/NSH,BVI",,,,,,,
,,"PB7(EC107)-BEL3/SHA,VSL",,,,,,,
